mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_iter_predict,param_n_restarts_optimizer,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
109.3430773417155,3.5744879594450225,0.3553328514099121,0.07924448483775022,100,0,"{'max_iter_predict': 100, 'n_restarts_optimizer': 0}",0.7230215827338129,0.7576923076923077,0.751937984496124,0.7442172916407482,0.015170621079621551,33
152.03461615244547,16.547685346806418,0.3688658873240153,0.0027239981311075793,100,1,"{'max_iter_predict': 100, 'n_restarts_optimizer': 1}",0.7230215827338129,0.7576923076923077,0.751937984496124,0.7442172916407482,0.015170621079621551,33
201.0164410273234,4.879676427201254,0.3208181858062744,0.08343222406046288,100,2,"{'max_iter_predict': 100, 'n_restarts_optimizer': 2}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
372.3463825384776,40.12347325986526,0.3931339581807454,0.02553799412138269,100,3,"{'max_iter_predict': 100, 'n_restarts_optimizer': 3}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
399.78050843874615,17.180234227540375,0.32243506113688153,0.07121705042334399,100,4,"{'max_iter_predict': 100, 'n_restarts_optimizer': 4}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
405.2377603848775,21.73881253865121,0.3172762393951416,0.022931920397323217,100,5,"{'max_iter_predict': 100, 'n_restarts_optimizer': 5}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
134.88275003433228,13.835298784509897,0.37316004435221356,0.009944612649568797,200,0,"{'max_iter_predict': 200, 'n_restarts_optimizer': 0}",0.7230215827338129,0.7576923076923077,0.751937984496124,0.7442172916407482,0.015170621079621551,33
158.79637145996094,8.742484115375435,0.3789920012156169,0.005345966438532423,200,1,"{'max_iter_predict': 200, 'n_restarts_optimizer': 1}",0.7230215827338129,0.7576923076923077,0.751937984496124,0.7442172916407482,0.015170621079621551,33
249.24618530273438,15.201291500806548,0.38033541043599445,0.01266336822638587,200,2,"{'max_iter_predict': 200, 'n_restarts_optimizer': 2}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
328.768084526062,47.69465307330582,0.32381240526835126,0.08378785058895995,200,3,"{'max_iter_predict': 200, 'n_restarts_optimizer': 3}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
376.8981119791667,111.72002704316868,0.3374152183532715,0.04468019600013486,200,4,"{'max_iter_predict': 200, 'n_restarts_optimizer': 4}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
272.7348961035411,37.48521427257437,0.20934208234151205,0.0008053313369736967,200,5,"{'max_iter_predict': 200, 'n_restarts_optimizer': 5}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
67.81990210215251,5.071240827074655,0.20902530352274576,0.0007233908430330089,300,0,"{'max_iter_predict': 300, 'n_restarts_optimizer': 0}",0.7230215827338129,0.7576923076923077,0.751937984496124,0.7442172916407482,0.015170621079621551,33
81.93426100413005,5.024149933291799,0.21237675348917642,0.0031306963854461772,300,1,"{'max_iter_predict': 300, 'n_restarts_optimizer': 1}",0.7230215827338129,0.7576923076923077,0.751937984496124,0.7442172916407482,0.015170621079621551,33
136.60802928606668,8.266130831886825,0.21162780125935873,0.004929747920268877,300,2,"{'max_iter_predict': 300, 'n_restarts_optimizer': 2}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
202.88015707333884,11.844062443958066,0.21816078821818033,0.0029775036867313084,300,3,"{'max_iter_predict': 300, 'n_restarts_optimizer': 3}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
214.77598929405212,12.499136815655346,0.2111654281616211,0.003995967237855315,300,4,"{'max_iter_predict': 300, 'n_restarts_optimizer': 4}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
241.43803358078003,15.493580534844284,0.21474830309549967,0.0035784036698639607,300,5,"{'max_iter_predict': 300, 'n_restarts_optimizer': 5}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
70.22064669926961,5.928706522416349,0.2112412452697754,0.005210939025346279,400,0,"{'max_iter_predict': 400, 'n_restarts_optimizer': 0}",0.7230215827338129,0.7576923076923077,0.751937984496124,0.7442172916407482,0.015170621079621551,33
83.93318176269531,5.193360225234625,0.21659398078918457,0.0012140780185148558,400,1,"{'max_iter_predict': 400, 'n_restarts_optimizer': 1}",0.7230215827338129,0.7576923076923077,0.751937984496124,0.7442172916407482,0.015170621079621551,33
135.52234403292337,10.248989154047678,0.210249662399292,0.002245469981290348,400,2,"{'max_iter_predict': 400, 'n_restarts_optimizer': 2}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
200.80780943234763,12.454167544918487,0.21518842379252115,0.0024895692638300707,400,3,"{'max_iter_predict': 400, 'n_restarts_optimizer': 3}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
218.41976356506348,13.433857000985093,0.21521751085917154,0.00514497561068594,400,4,"{'max_iter_predict': 400, 'n_restarts_optimizer': 4}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
239.0706925392151,14.07649381088132,0.2173018455505371,0.000858746808833376,400,5,"{'max_iter_predict': 400, 'n_restarts_optimizer': 5}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
68.80132365226746,5.6575969829921915,0.20929574966430664,0.0014959557865713079,500,0,"{'max_iter_predict': 500, 'n_restarts_optimizer': 0}",0.7230215827338129,0.7576923076923077,0.751937984496124,0.7442172916407482,0.015170621079621551,33
83.44177635510762,5.856859639997873,0.2138048013051351,0.004535656226342956,500,1,"{'max_iter_predict': 500, 'n_restarts_optimizer': 1}",0.7230215827338129,0.7576923076923077,0.751937984496124,0.7442172916407482,0.015170621079621551,33
137.90797591209412,10.204189655327658,0.218232790629069,0.0020099965128112744,500,2,"{'max_iter_predict': 500, 'n_restarts_optimizer': 2}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
205.67491698265076,15.573977268103356,0.2119263013203939,0.00532395642950691,500,3,"{'max_iter_predict': 500, 'n_restarts_optimizer': 3}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
216.3739159901937,12.404189949032139,0.2119478384653727,0.004020985623735479,500,4,"{'max_iter_predict': 500, 'n_restarts_optimizer': 4}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
239.08266965548196,16.084450438486776,0.2144185702006022,0.003916082100347031,500,5,"{'max_iter_predict': 500, 'n_restarts_optimizer': 5}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
69.13084204991658,4.636067242737263,0.21424015363057455,0.00321869961579933,600,0,"{'max_iter_predict': 600, 'n_restarts_optimizer': 0}",0.7230215827338129,0.7576923076923077,0.751937984496124,0.7442172916407482,0.015170621079621551,33
83.10880319277446,4.169055932471189,0.21422735850016275,0.0030014874681509947,600,1,"{'max_iter_predict': 600, 'n_restarts_optimizer': 1}",0.7230215827338129,0.7576923076923077,0.751937984496124,0.7442172916407482,0.015170621079621551,33
134.65855598449707,8.730903562023588,0.2105719248453776,0.00465425945647689,600,2,"{'max_iter_predict': 600, 'n_restarts_optimizer': 2}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
202.0648670991262,13.976952465304567,0.2082525889078776,0.0014598769206980314,600,3,"{'max_iter_predict': 600, 'n_restarts_optimizer': 3}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
217.28931641578674,13.974532351948247,0.21489596366882324,0.0054887502658217905,600,4,"{'max_iter_predict': 600, 'n_restarts_optimizer': 4}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
236.0178382396698,14.176972812699379,0.21150851249694824,0.0035804945309534696,600,5,"{'max_iter_predict': 600, 'n_restarts_optimizer': 5}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
68.71752190589905,4.792072173453092,0.21075129508972168,0.003198729714061029,700,0,"{'max_iter_predict': 700, 'n_restarts_optimizer': 0}",0.7230215827338129,0.7576923076923077,0.751937984496124,0.7442172916407482,0.015170621079621551,33
84.5037260055542,4.782674522093279,0.21460779507954916,0.003383796795956699,700,1,"{'max_iter_predict': 700, 'n_restarts_optimizer': 1}",0.7230215827338129,0.7576923076923077,0.751937984496124,0.7442172916407482,0.015170621079621551,33
135.19682367642721,9.651962780634777,0.21445775032043457,0.004825588228358646,700,2,"{'max_iter_predict': 700, 'n_restarts_optimizer': 2}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
202.5670201778412,10.979931179901,0.20867602030436197,0.0010565295870081314,700,3,"{'max_iter_predict': 700, 'n_restarts_optimizer': 3}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
214.22241139411926,15.718691110875588,0.21745689709981283,0.0006378541823113602,700,4,"{'max_iter_predict': 700, 'n_restarts_optimizer': 4}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
238.07158541679382,13.725383632200854,0.2179723580678304,0.0015754168876793454,700,5,"{'max_iter_predict': 700, 'n_restarts_optimizer': 5}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
70.03310950597127,4.608721109433762,0.21088337898254395,0.0021780421911198186,800,0,"{'max_iter_predict': 800, 'n_restarts_optimizer': 0}",0.7230215827338129,0.7576923076923077,0.751937984496124,0.7442172916407482,0.015170621079621551,33
82.03330206871033,5.844099937049214,0.21520781517028809,0.0007760201358063322,800,1,"{'max_iter_predict': 800, 'n_restarts_optimizer': 1}",0.7230215827338129,0.7576923076923077,0.751937984496124,0.7442172916407482,0.015170621079621551,33
136.89602597554526,8.343502433053098,0.21471532185872397,0.0037684832159316016,800,2,"{'max_iter_predict': 800, 'n_restarts_optimizer': 2}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
200.52237240473428,16.11803622967288,0.21579488118489584,0.006491115399225639,800,3,"{'max_iter_predict': 800, 'n_restarts_optimizer': 3}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
214.9617211818695,12.536395862426613,0.21369377772013345,0.004158593926780806,800,4,"{'max_iter_predict': 800, 'n_restarts_optimizer': 4}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
232.90849661827087,14.40780219434993,0.21354381243387857,0.0029323441435074073,800,5,"{'max_iter_predict': 800, 'n_restarts_optimizer': 5}",0.9496402877697842,0.8961538461538462,0.8604651162790697,0.9020864167342334,0.03664650367923283,1
